dataset_id,respondent_id,n_matched_items,agreement_rate,agreement_se,cohens_kappa
ariadna,R_2Vax2pbhZSQvFVv,75,0.9733333333333334,0.01860306625462785,0.9450549450549451
ariadna,R_81G9dtBwJid3Vq1,75,0.9733333333333334,0.01860306625462785,0.9450549450549451
ariadna,R_8zjYvDnn7k5ra8B,75,0.9733333333333334,0.01860306625462785,0.9444855662472244
ariadna,R_2NkrvfJOMLmKFvu,75,0.96,0.02262741699796953,0.9194991055456171
ariadna,R_2ZXG0AO6LEFVhEl,75,0.96,0.02262741699796953,0.9171270718232043
ariadna,R_2hXwszcOMftm2aJ,75,0.96,0.02262741699796953,0.9194991055456171
ariadna,R_8EMFmcqGFOQqtGj,75,0.96,0.02262741699796953,0.9201277955271565
ariadna,R_8uKcyMqe7CEoJSU,75,0.96,0.02262741699796953,0.9197860962566844
ariadna,R_8w1FrzycSBGRrX3,75,0.96,0.02262741699796953,0.9199573105656349
ariadna,R_8xspd0tVDfHgh33,75,0.96,0.02262741699796953,0.9179131703757752
ariadna,R_2CHfcRkm2pQ2QFv,75,0.9466666666666667,0.025945812478802534,0.8924731182795699
ariadna,R_2pKpmRhQ43fwxem,75,0.9466666666666667,0.025945812478802534,0.8917748917748918
ariadna,R_82KYLB4TJOFvhi0,75,0.9466666666666667,0.025945812478802534,0.8931623931623931
ariadna,R_8ds4xfRIDf6BH9N,75,0.9466666666666667,0.025945812478802534,0.892933618843683
ariadna,R_8w6W4Gq3ST1QADl,75,0.9466666666666667,0.025945812478802534,0.8927038626609441
ariadna,R_2DOWhBdhPK2TIBh,75,0.9333333333333333,0.028803291992923818,0.8665955176093917
ariadna,R_2PceCk00yJmUAA0,75,0.9333333333333333,0.028803291992923818,0.8653500897666069
ariadna,R_2VDvYWvRILFO6wp,75,0.9333333333333333,0.028803291992923818,0.8666903661571277
ariadna,R_80NBCy1QPWIZ8Tf,75,0.9333333333333333,0.028803291992923818,0.8651564185544768
ariadna,R_82wUg41yTwfgFA5,75,0.9333333333333333,0.028803291992923818,0.8620816476645826
ariadna,R_833r29rInHWjEh5,75,0.9333333333333333,0.028803291992923818,0.8651564185544768
ariadna,R_86hWFIUx8gOoPq2,75,0.9333333333333333,0.028803291992923818,0.8663101604278075
ariadna,R_8GWwig4QwhuCbSx,75,0.9333333333333333,0.028803291992923818,0.8651564185544768
ariadna,R_8LZ8WR32Lr3QIcn,75,0.9333333333333333,0.028803291992923818,0.8660235798499465
ariadna,R_8VfuoOs3YqFeS5z,75,0.9333333333333333,0.028803291992923818,0.8660235798499465
ariadna,R_8jZslP9XDD1J3MZ,75,0.9333333333333333,0.028803291992923818,0.866785079928952
ariadna,R_8vV34t37KR9fsI1,75,0.9333333333333333,0.028803291992923818,0.8651564185544768
ariadna,R_22G3ZBu4W2ayxbc,75,0.92,0.03132624033192194,0.840085287846482
ariadna,R_2EEnEPrBj9i7fR1,75,0.92,0.03132624033192194,0.8390557939914164
ariadna,R_2ewU8duZojKuPJU,75,0.92,0.03132624033192194,0.8350439882697948
ariadna,R_2fNso9AAtTaaBAD,75,0.92,0.03132624033192194,0.826388888888889
ariadna,R_2kmMbMNO09tT2MV,75,0.92,0.03132624033192194,0.8377793799567412
ariadna,R_2lX591Dp8ENrmky,75,0.92,0.03132624033192194,0.8399715504978664
ariadna,R_2oTz3aDU1XHddpD,75,0.92,0.03132624033192194,0.8397435897435899
ariadna,R_2zMYaocw6xIBBm1,75,0.92,0.03132624033192194,0.8291571753986333
ariadna,R_80cbA9a89F1IMgu,75,0.92,0.03132624033192194,0.8392857142857144
ariadna,R_8DO3lKQ7kMwjmaR,75,0.92,0.03132624033192194,0.8399715504978663
ariadna,R_8FLm2MX2vXSY4Q6,75,0.92,0.03132624033192194,0.8333333333333334
ariadna,R_8WHkjxC8i4IiPKj,75,0.92,0.03132624033192194,0.8397435897435899
ariadna,R_8r8RlUASyYrLlgB,75,0.92,0.03132624033192194,0.8400852878464821
ariadna,R_8rZfLqMOeAS1YPT,75,0.92,0.03132624033192194,0.8398576512455517
ariadna,R_21H9KAxX71qdX4N,75,0.9066666666666666,0.03359012200478434,0.8133665126199786
ariadna,R_21YYT1vHylDvm3V,75,0.9066666666666666,0.03359012200478434,0.8102638236357065
ariadna,R_2EckFrJKdcd1r2T,75,0.9066666666666666,0.03359012200478434,0.8128342245989304
ariadna,R_2HN7WiQ7BNAZQYd,75,0.9066666666666666,0.03359012200478434,0.8102638236357065
ariadna,R_2Ib2phbVXvuD8oa,75,0.9066666666666666,0.03359012200478434,0.8131007475970096
ariadna,R_2bWrbgTJPOSw94q,75,0.9066666666666666,0.03359012200478434,0.8133665126199786
ariadna,R_2ijX1noVpj9v9sC,75,0.9066666666666666,0.03359012200478434,0.8066298342541436
ariadna,R_2sSl4XjbQq797s0,75,0.9066666666666666,0.03359012200478434,0.8128342245989304
ariadna,R_87s4mdotpEkJ4iD,75,0.9066666666666666,0.03359012200478434,0.8128342245989304
ariadna,R_87wdw99jDKVgxXP,75,0.9066666666666666,0.03359012200478434,0.8124330117899249
ariadna,R_8GE5C350gpDVW51,75,0.9066666666666666,0.03359012200478434,0.8141592920353982
ariadna,R_8NxnqIeKl7hG4CJ,75,0.9066666666666666,0.03359012200478434,0.8099891422366992
ariadna,R_8RrzP7zKrZNARAb,75,0.9066666666666666,0.03359012200478434,0.81216457960644
ariadna,R_8VI8HVRe9Dgh9Yd,75,0.9066666666666666,0.03359012200478434,0.8044692737430167
ariadna,R_8Ypimg6qBAFDBIZ,75,0.9066666666666666,0.03359012200478434,0.81216457960644
ariadna,R_8ikHC479ci2GYxk,75,0.9066666666666666,0.03359012200478434,0.8112189859762674
ariadna,R_8zHm0PhwcufQ2od,75,0.9066666666666666,0.03359012200478434,0.8133665126199786
ariadna,R_21upZwdFOCzQX5V,75,0.8933333333333333,0.03564433361024608,0.7867803837953092
ariadna,R_25AxwwGd2m5hlaO,75,0.8933333333333333,0.03564433361024608,0.786476868327402
ariadna,R_25GvoK5Ozx4N2sZ,75,0.8933333333333333,0.03564433361024608,0.7807017543859649
ariadna,R_28TWQkfZ6NcTW40,75,0.8933333333333333,0.03564433361024608,0.7841726618705036
ariadna,R_2F3TDdj93HANidc,75,0.8933333333333333,0.03564433361024608,0.7835497835497836
ariadna,R_2Iyrl6tKrfg18nB,75,0.8933333333333333,0.03564433361024608,0.7847919655667145
ariadna,R_2N3aXNKsXHsjpdW,75,0.8933333333333333,0.03564433361024608,0.7857142857142857
ariadna,R_2NhuyFRIOcrpwMz,75,0.8933333333333333,0.03564433361024608,0.7841726618705036
ariadna,R_2YwoxMFswcmeBY5,75,0.8933333333333333,0.03564433361024608,0.7863247863247863
ariadna,R_2ezpItm4xzF3l5o,75,0.8933333333333333,0.03564433361024608,0.7863247863247863
ariadna,R_2mEnAH2vd7PWYoi,75,0.8933333333333333,0.03564433361024608,0.7837058399423216
ariadna,R_2nvj3FAb3B9DnL2,75,0.8933333333333333,0.03564433361024608,0.7867803837953091
ariadna,R_2saXs6ZkrLSlcOT,75,0.8933333333333333,0.03564433361024608,0.7821350762527233
ariadna,R_2uTCQCsxmaubebq,75,0.8933333333333333,0.03564433361024608,0.7861724875267284
ariadna,R_2zvWWfgYdqDuiDH,75,0.8933333333333333,0.03564433361024608,0.7858672376873661
ariadna,R_81Sg3amwKcAw9e0,75,0.8933333333333333,0.03564433361024608,0.7854077253218884
ariadna,R_81zsYozhNEDtruH,75,0.8933333333333333,0.03564433361024608,0.786628733997155
ariadna,R_8JQemhT2CuiPmVz,75,0.8933333333333333,0.03564433361024608,0.7849462365591398
ariadna,R_8M043VdLybdc9sm,75,0.8933333333333333,0.03564433361024608,0.786476868327402
ariadna,R_8MljqrCk3AkCgYI,75,0.8933333333333333,0.03564433361024608,0.786476868327402
ariadna,R_8SLfXvjF5Y2Kkud,75,0.8933333333333333,0.03564433361024608,0.7847919655667145
ariadna,R_8f8hrycYIAUrXPz,75,0.8933333333333333,0.03564433361024608,0.786931818181818
ariadna,R_8pFs7VcVRRuij7g,75,0.8933333333333333,0.03564433361024608,0.7847919655667145
ariadna,R_8pMWcg5z1UY3foX,75,0.8933333333333333,0.03564433361024608,0.786628733997155
ariadna,R_8pVUNqD6EIoozqY,75,0.8933333333333333,0.03564433361024608,0.786931818181818
ariadna,R_8v5CZYWPhsNM0fv,75,0.8933333333333333,0.03564433361024608,0.7860199714693296
ariadna,R_8xA1OTHBT9zMr5v,75,0.8933333333333333,0.03564433361024608,0.786476868327402
ariadna,R_231907Im7bSzsel,75,0.88,0.03752332607858744,0.7608926673751328
ariadna,R_282K0iuLfskF2Zb,75,0.88,0.03752332607858744,0.7597009611961553
ariadna,R_29la0tpiDXrGvXb,75,0.88,0.03752332607858744,0.7608926673751328
ariadna,R_2By4q6ScwtEtppD,75,0.88,0.03752332607858744,0.7537395111273258
ariadna,R_2FFmDUCIm4hy2Cx,75,0.88,0.03752332607858744,0.7583243823845328
ariadna,R_2GGreX92TQa6SgF,75,0.88,0.03752332607858744,0.7560534875316227
ariadna,R_2I06ClXEjTFL1mB,75,0.88,0.03752332607858744,0.7608926673751328
ariadna,R_2L2CRjdUZpTtJpD,75,0.88,0.03752332607858744,0.7608926673751328
ariadna,R_2p5YYuB1ywtiMU1,75,0.88,0.03752332607858744,0.7593582887700535
ariadna,R_2qrJlYjr6jshh4v,75,0.88,0.03752332607858744,0.7608926673751328
ariadna,R_2sbH6qXQYiMeKLA,75,0.88,0.03752332607858744,0.7619047619047619
ariadna,R_2vq0oPAbABHzfod,75,0.88,0.03752332607858744,0.7600426590828298
ariadna,R_87I0wnxMcNYVgkH,75,0.88,0.03752332607858744,0.7600426590828298
ariadna,R_8D76oOperypgreN,75,0.88,0.03752332607858744,0.7593582887700535
ariadna,R_8DOW7NIfbpoeJYX,75,0.88,0.03752332607858744,0.7593582887700535
ariadna,R_8Enz8e9UYRaZWNZ,75,0.88,0.03752332607858744,0.7548129313476207
ariadna,R_8FWFOgbpobiAeaB,75,0.88,0.03752332607858744,0.7602131438721137
ariadna,R_8JlmwhGiDYXz7Q5,75,0.88,0.03752332607858744,0.7584973166368516
ariadna,R_8LkCVkiFqE0BzxZ,75,0.88,0.03752332607858744,0.7593582887700535
ariadna,R_8OZhdT9gR1AATha,75,0.88,0.03752332607858744,0.759871931696905
ariadna,R_8RUrxCahcA4bgGO,75,0.88,0.03752332607858744,0.7540983606557377
ariadna,R_8X6XSeQQJIoxw9k,75,0.88,0.03752332607858744,0.7489773149869839
ariadna,R_8ZbdU1KlqiQFCSJ,75,0.88,0.03752332607858744,0.7576301615798923
ariadna,R_8iVYOJmCdNTb6sb,75,0.88,0.03752332607858744,0.755700325732899
